章节,章节名称,命令,命令标题,命令类型,命令格式,响应,响应校正,示例命令,功能描述,备注,表数量,顺序,参数,参数json
1,基础命令,AT+NWPWROFF,模组关机指令,执行,AT+NWPWROFF,<CR><LF>OK<CR><LF>,,"AT+NWPWROFF

OK","模组关机指令。发送 AT+NWPWROFF 之前,需悬空或拉高模组 POWERKEY 管脚电平。返回 OK 后,若需重新开机,可拉低 POWERKEY 管脚电平。
命令格式",说明示例28,1,28,"- `<n>`：关机选项，数值形式，取值如下：
0：快速关机
1：正常流程关机
  - `取值如下`: 
  - `0`: 快速关机
  - `1`: 正常流程关机","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+NWRFTEST,模组强发强收指令（仅可用于测试）,执行,AT+NWRFTEST,<CR><LF>OK<CR><LF>,,"AT+NWRFTEST

OK","用于在测试模式下验证模组强发强收功能,只能测试每个频段的中心频点的发射功率和接收功率精度。由于平台限制,强收强发测试精度均有一些误差。
强发测试只能验证最大发射功率23db和10db,其他值无法验证。
命令格式",说明示例29,1,29,"- `<rftest_mode>`：0：退出强发强收测试模式
1：进入强发强收测试模式
  - `0`: 退出强发强收测试模式
  - `1`: 进入强发强收测试模式

- `<rat>`：1：LTE 当前仅支持rat为LTE 的测试
  - `1`: LTE 当前仅支持rat为LTE 的测试

- `<band>`：频段指示
1：LTE band 1
2：LTE band 2
  - `1`: LTE band 1
  - `2`: LTE band 2

- `<bw>`：带宽，平台限制，当前仅支持bw传入为0

- `<channel>`：频点信息（平台限制，当前仅支持每个频段的中心频点，默认值0 即表示中心频点），各频段中心频点信息如下：
LTE Band 1：上行频点18300   下行频点300
LTE Band 2：上行频点18900下行频点900
LTE Band 3：上行频点19500下行频点1575
LTE Band 4：上行频点20175下行频点2175
LTE Band 5：上行频点20525下行频点2525
LTE Band 6：上行频点20700下行频点2700
LTE Band 7：上行频点21100下行频点3100
LTE Band 8：上行频点12625下行频点3625
LTE Band 20：上行频点24300下行频点6300
LTE Band 28：上行频点27435下行频点9435
LTE Band 34：上行频点36275下行频点36275
LTE Band 38：上行频点38000下行频点38000
LTE Band 39：上行频点38450下行频点38450
LTE Band 40：上行频点39150下行频点39150
LTE Band 41：上行频点40620下行频点40620
LTE Band 66：上行频点59250下行频点59350
  - `默认值0`: 即表示中心频点）
  - `各频段中心频点信息如下`: 
  - `LTE Band 1`: 上行频点18300   下行频点300
  - `LTE Band 2`: 上行频点18900下行频点900
  - `LTE Band 3`: 上行频点19500下行频点1575
  - `LTE Band 4`: 上行频点20175下行频点2175
  - `LTE Band 5`: 上行频点20525下行频点2525
  - `LTE Band 6`: 上行频点20700下行频点2700
  - `LTE Band 7`: 上行频点21100下行频点3100
  - `LTE Band 8`: 上行频点12625下行频点3625
  - `LTE Band 20`: 上行频点24300下行频点6300
  - `LTE Band 28`: 上行频点27435下行频点9435
  - `LTE Band 34`: 上行频点36275下行频点36275
  - `LTE Band 38`: 上行频点38000下行频点38000
  - `LTE Band 39`: 上行频点38450下行频点38450
  - `LTE Band 40`: 上行频点39150下行频点39150
  - `LTE Band 41`: 上行频点40620下行频点40620
  - `LTE Band 66`: 上行频点59250下行频点59350

- `<chain_idx>`：不适用，直接填入默认值0

- `<expected_rxagc>`：预期接收功率，为负值

- `<tx_enable>,`：强发测试设置为1，强收测试设置为0

- `<tx_power>`：发射功率，平台限制，当前仅支持传入23和10，分别表示最大发射功率23db和发射功率10db

- `<lte_start_rb>`：不适用，直接填入默认值0

- `<lte_num_rb>`：不适用，直接填入默认值0

- `<waveform>`：不适用，直接填入默认值0","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
1,基础命令,AT+NSTGETRSSI,获取强收模式下模组的接收功率（仅可用于测试）,执行,AT+NSTGETRSSI,<CR><LF>OK<CR><LF>,,"AT+NSTGETRSSI

OK","用于在测试模式下验证模组的接收功率,强收测试精度会有一些误差。
命令格式",说明示例30,1,30,- `<value>`：接收功率,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CSMS,选择短信服务,执行;查询;测试,AT+CSMS=<service><CR>;AT+CSMS?<CR>;AT+CSMS=?<CR>,"<CR><LF>+CSMS: <mt>,<mo>,<bm>
<CR><LF>OK<CR><LF>
Or
<CR><LF>ERROR<CR><LF>,<CR><LF>+CSMS: <service>,<mt>,<mo>,<bm>
<CR><LF>OK<CR><LF>,<CR><LF>+CSMS: (list of supported <service>s)
<CR><LF>OK<CR><LF>","<CR><LF>+CSMS: <mt>,<mo>,<bm>
<CR><LF>OK<CR><LF>
Or
<CR><LF>ERROR<CR><LF>,<CR><LF>+CSMS: <service>,<mt>,<mo>,<bm>
<CR><LF>OK<CR><LF>,<CR><LF>+CSMS: (list of supported <service>s)
<CR><LF>OK<CR><LF>","AT+CSMS=1

+CSMS: 1,1,1
OK
AT+CSMS=2

ERROR
AT+CSMS?

+CSMS: 1,1,1,1
OK
AT+CSMS=?

+CSMS: (0,1)
OK",用于支持的短消息包括：发送（SMS-MO）、接收（SMS-MT）、小区广播（SMS-CB）。,支持多种短消息服务类型,1,2,"{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""示例"",
""1"": ""示例""
}
}"
2,SMS命令,AT+CPMS,首选短信存储器,执行,AT+CPMS,<CR><LF>OK<CR><LF>,,"AT+CPMS

OK","用于首选短信存储器。
命令格式",说明示例32,1,32,"- `<mem1>
<mem2>
<mem3>
""SM""：
""ME""：
""MT""：`：读取和删除 SMS 时使用的存储器,字符串类型
存储和发送 SMS 时使用的存储器
若没有建立到 TE 的路由，则将接收的 SMS 存储在该存储器内
SIM 卡 SMS 存储器
ME SMS 存储器
SIM 卡和 ME SMS 存储器
  - `读取和删除`: SMS 时使用的存储器
  - `存储和发送`: SMS 时使用的存储器
  - `若没有建立到`: TE 的路由
  - `则将接收的`: SMS 存储在该存储器内
  - `SIM`: 卡和 ME SMS 存储器
  - `ME`: SMS 存储器

- `<mem1>`：字符串类型, 例如：""SM"", ""ME""
""SM""：SIM only
""ME""：ME only
  - `例如`: ""SM""
  - `""SM""`: SIM only
  - `""ME""`: ME only

- `<used>`：已使用数目。

- `<total>`：存储器总容量数目。","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGF,设置短消息模式,执行,AT+CMGF,<CR><LF>OK<CR><LF>,,"AT+CMGF

OK","设置短信的输入模式。
命令格式",说明示例33,1,33,"- `<mode>`：0：PDU模式(默认)
1：文本模式
  - `0`: PDU模式(默认)
  - `1`: 文本模式","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CSCS,设置TE字符集,执行,AT+CSCS,<CR><LF>OK<CR><LF>,,"AT+CSCS

OK","设置TE字符集格式。
命令格式",说明示例34,1,34,"- `<chset>`：""GSM""：GSM默认字母表（GSM03.38.6.2.1）
""IRA""：国际参考字母表(international reference alphabet)(ITU-T T.50)
""UCS2""：16-bit universal multiple-octet coded character set (USO/IEC10646)。UCS2字符串被转换成一个十六进制数（0x0000～0xFFFF），只有在相应语句中的字符串才用UCS2编码，其余的命令和响应仍旧是IRA字母表格式的。
""PCCP936""：等同GBK编码格式
""IRA""：国际参考字母表(international reference alphabet)(ITU-T T.50)
""UTF-8""：针对Unicode的一种可变长度字符编码
  - `""GSM""`: GSM默认字母表（GSM03.38.6.2.1）
  - `""IRA""`: 国际参考字母表(international reference alphabet)(ITU-T T.50)
  - `""UCS2""`: 16-bit universal multiple-octet coded character set (USO/IEC10646)。UCS2字符串被转换成一个十六进制数（0x0000～0xFFFF）
  - `""PCCP936""`: 等同GBK编码格式
  - `""UTF-8""`: 针对Unicode的一种可变长度字符编码","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CNMI,设置短信指示格式,执行,AT+CNMI,<CR><LF>OK<CR><LF>,,"AT+CNMI

OK","设置模组从网络接收到短信息后如何通知用户。
命令格式",说明示例35,1,35,"- `<mode>`：设置收到短信后向用户发送的指示方式。
0：短信指示代码在模组中缓存,如果TA已满，代码可存贮在其它地方或者将最旧的代码丢弃，并用最新接收到的代码去替代。
1：当On-line State时，舍弃保存的短信指示代码并拒绝新的指示代码，其它情况下，直接将代码显示在终端设备上。
2：当模组在On-line State时，短信指示代码在模组中缓存，当连接释放后，将短信指示代码通过串口输出，在其他state下，直接将代码显示在终端设备上。
3：当模组在On-line State时，短信指示代码和其它数据一起传输，代码显示在终端设备上。
  - `0`: 短信指示代码在模组中缓存
  - `1`: 当On-line State时
  - `2`: 当模组在On-line State时
  - `3`: 当模组在On-line State时

- `<mt>`：设置新短信指示代码的格式，默认值为0
0：不向终端发送新短信指示代码。
1：新短信指示代码格式为+CMTI: ""MT"",<index>，短信内容存贮而不直接显示。
2：新短信指示代码格式为+CMT: <oa>,<scts>,<tooa>,<lang>,<encod>,<priority>
[,<cbn>],<length><CR><LF><CR><LF><data>(文本模式)，短信内容直接显示而不存贮。
3：使用<mt>=2所定义的主动上报代码直接将短信指示代码传送到终端设备，其它模式的信息指示代码和<mt>=1相同。
  - `0`: 不向终端发送新短信指示代码。
  - `1`: 新短信指示代码格式为+CMTI: ""MT""
  - `2`: 新短信指示代码格式为+CMT: <oa>
  - `3`: 使用<mt>=2所定义的主动上报代码直接将短信指示代码传送到终端设备

- `<bm>`：设置新小区广播指示代码的格式，默认值为1。
0：不发送新小区广播的指示信息，小区广播也不会存贮
2：新小区广播指示代码格式为+CBM: <oa>,[<alpha>,]<scts>[,<tooa>,<length>]
<CR><LF><data>(文本模式),小区广播内容直接显示而不存贮。
  - `0`: 不发送新小区广播的指示信息
  - `2`: 新小区广播指示代码格式为+CBM: <oa>

- `<ds>`：短信发送的状态报告，默认值为1。
0：无短信发送状态报告
1：短信发送状态报告代码格式为+CDS: <fo>,<mr>,[<ra>],[<tora>],<scts>,
<dt>,<st>(文本模式)
  - `0`: 无短信发送状态报告
  - `1`: 短信发送状态报告代码格式为+CDS: <fo>

- `<bfr>`：默认值为 0。
0：当<mode>设为1、2时，存贮在TA中的该指令定义的代码将会被发送到TE，模组在传送代码之前，会先返回""OK""。
1：当<mode>设为1、2时，存贮在TA中的该指令定义的代码将会被清除。
  - `默认值为`: 0。
  - `0`: 当<mode>设为1、2时
  - `1`: 当<mode>设为1、2时","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGR,读短消息,执行,AT+CMGR,<CR><LF>OK<CR><LF>,,"AT+CMGR

OK","读取当前存储器中的短消息（需预先通过AT+CPMS指令设定当前存储器）。
如果接收到的短信状态是未读的,执行该指令后,短信存储状态就变成已读。
命令格式",说明示例36,1,36,"- `<index>`：短信在<mem1>的索引号，CMGR读取的是<mem1>的短信

- `<stat>`：TEXT mode
“REC UNREAD”已接收未读取的消息
“REC READ”已接收已读取的消息
“STO UNSENT”已存储未发送的消息
“STO SENT”已存储已发送的消息
PDU mode
0 已接收未读取的消息
1 已接收已读取的消息
2 已存储未发送的消息
3 已存储已发送的消息
  - `TEXT`: mode
  - `“REC`: READ”已接收已读取的消息
  - `“STO`: SENT”已存储已发送的消息
  - `PDU`: mode
  - `0`: 已接收未读取的消息
  - `1`: 已接收已读取的消息
  - `2`: 已存储未发送的消息
  - `3`: 已存储已发送的消息

- `<alpha>`：以字符型的数字来表示。

- `<length>`：给定的TP层数据单元的八位位组代码数目（不包含服务中心地址的八位位组）。

- `<pdu>`：PDU数据。","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGL,短信列表,执行,AT+CMGL,<CR><LF>OK<CR><LF>,,"AT+CMGL

OK","读取某一类存储的短信,短信会被从+CPMS 指令选取的当前的存储器中读出来。
命令格式",说明示例37,1,37,"- `<stat>`：字符串类型或者数字类型
当设置AT+CMGF=1时：
""REC UNREAD""：接收到的未读的短信
""REC READ""：接收到的已读的短信
""STO UNSENT""：存储的未发送的短信
""STO SENT""：存储的已发送的短信
""ALL""：所有短信
当设置AT+CMGF=0时：
0：接收到的未读的短信
1：接收到的已读的短信
2：存储的未发送的短信
3：存储的已发送的短信
4：所有短信
  - `当设置AT+CMGF=1时`: 
  - `""REC UNREAD""`: 接收到的未读的短信
  - `""REC READ""`: 接收到的已读的短信
  - `""STO UNSENT""`: 存储的未发送的短信
  - `""STO SENT""`: 存储的已发送的短信
  - `""ALL""`: 所有短信
  - `当设置AT+CMGF=0时`: 
  - `0`: 接收到的未读的短信
  - `1`: 接收到的已读的短信
  - `2`: 存储的未发送的短信
  - `3`: 存储的已发送的短信
  - `4`: 所有短信","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGS,发送短消息,执行,AT+CMGS,<CR><LF>OK<CR><LF>,,"AT+CMGS

OK","将短消息从模组发送到网络,短消息发送成功后网络返回参考值<mr>给模组。
命令格式",说明示例38,1,38,"- `<da>`：文本模式下短信发送目的号码

- `<text>`：文本模式下短信内容

- `<length>`：PDU模式下短信内容的字节长度

- `<mr>`：存储位置

- `<CR>`：结束符

- `<Ctrl+Z>`：表示输入消息体的结束，即示例中的符号“”

- `<ESC>`：表示放弃输入消息体

- `<scts>`：服务中心时间戳

- `<ackpdu>`：GPP 23.040 RP-User-Data element of RP-ACK PDU
  - `GPP`: 23.040 RP-User-Data element of RP-ACK PDU","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGW,写短消息,执行,AT+CMGW,<CR><LF>OK<CR><LF>,,"AT+CMGW

OK","往存储器中写入短消息,正确存储后返回位置信息<index>。
命令格式",说明示例39,1,39,"- `<da>`：文本模式下短信发送目的号码

- `<text>`：文本模式下短信内容

- `<length>`：PDU模式下短信内容的字节长度

- `<index>`：位置信息

- `<CR>`：结束符

- `<Ctrl+Z>`：表示输入消息体的结束，即示例中的符号“”

- `<ESC>`：表示放弃输入消息体","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMSS,发送已保存的短消息,执行,AT+CMSS,<CR><LF>OK<CR><LF>,,"AT+CMSS

OK","发送存储器中<index>指定位置的短消息（SMS-SUBMIT）,短消息发送成功后网络返回参考值<mr>给终端。
命令格式",说明示例40,1,40,"- `<index>`：存储器中短信序号

- `<da>`：文本模式下短信发送目的号码

- `<toda>`：type of address
  - `type`: of address

- `<mr>`：存储位置

- `<scts>`：服务中心时间戳

- `<ackpdu>`：3GPP 23.040 RP-User-Data element of RP-ACK PDU
  - `3GPP`: 23.040 RP-User-Data element of RP-ACK PDU","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CMGD,删除短消息,执行,AT+CMGD,<CR><LF>OK<CR><LF>,,"AT+CMGD

OK","从当前存储器中删除短消息。
命令格式",说明示例41,1,41,"- `<index>`：存贮的短消息的记录号

- `<delflag>`：整型值
0：删除指定记录号的短信
1：删除所有已读短信
2：删除所有已读和已发送的短信
3：删除所有已读、已发送和未发送的短信
4：删除所有短信
  - `0`: 删除指定记录号的短信
  - `1`: 删除所有已读短信
  - `2`: 删除所有已读和已发送的短信
  - `3`: 删除所有已读、已发送和未发送的短信
  - `4`: 删除所有短信","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CSCA,短信中心号码,执行,AT+CSCA,<CR><LF>OK<CR><LF>,,"AT+CSCA

OK","设置短信中心号码。CDMA模式下,不支持这条指令。
命令格式",说明示例42,1,42,"- `<sca>`：短信中心号码，字符串类型。

- `<tosca>`：短信中心号码格式。129表示普通号码类型，145表示国际号码类型","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CSMP,设置文本模式参数,执行,AT+CSMP,<CR><LF>OK<CR><LF>,,"AT+CSMP

OK","文本模式下,选择需要的附加参数取值,设置从SMSC接收到该消息时算起的有效期或定义有效期终止的绝对时间。
命令格式",说明示例43,1,43,"- `<fo>`：<fo>：取决于该命令或结果码：GSM 03.40 SMS-DELIVER的前8位；
SMS-SUBMIT(缺省值：17)；或采用整数型的SMS-COMMAND（缺省值：2）
  - `<fo>`: 取决于该命令或结果码：GSM 03.40 SMS-DELIVER的前8位
  - `SMS-SUBMIT(缺省值`: 17)
  - `或采用整数型的SMS-COMMAND（缺省值`: 2）

- `<vp>`：—
  - `0-143`: (vp+1)*5mins，最大为12小时
  - `144-167`: 12hours +((vp–143)*30mins)，最大为24小时
  - `168-196`: (vp–166)*1day
  - `197-255`: (vp–192)*1week

- `<pid>`：整数型的TP-协议-标识（缺省值：0）
  - `整数型的TP-协议-标识（缺省值`: 0）

- `<dcs>`：整数型的小区广播数据编码方案（缺省值：0）
  - `整数型的小区广播数据编码方案（缺省值`: 0）","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
2,SMS命令,AT+CSDH,显示文本模式参数,执行,AT+CSDH,<CR><LF>OK<CR><LF>,,"AT+CSDH

OK","设置是否在文本模式下的结果码中显示详细的头信息。该指令在短信文本模式下有效,需发送AT+CMGF=1设置成文本模式。
命令格式",说明示例44,1,44,"- `<show>`：0：不显示（默认值）
1：显示
  - `0`: 不显示（默认值）
  - `1`: 显示","{
""<service>"": {""__desc__"": ""短信服务模式选择"",
""0"": ""GSM03.40/GSM03.41 Phase 2"",
""1"": ""GSM03.40/GSM03.41 Phase 2+""
},
""<mt>,<mo>,<bm>"": {""__desc__"": ""下行/上行/广播支持"",
""0"": ""不支持"",
""1"": ""支持""
}
}"
